Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,2017-07-31 19:51:18,false,Mount Kisco Running,5.1,575,36:47,--,--,0,162,173,7:13,5:43,475,507,1.38,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-07-22 12:39:55,false,Central Toronto (The Annex / North Midtown / Yorkville) Running,8,885,57:26,--,--,0,163,187,7:10,6:22,87,122,1.38,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-07-20 17:30:15,false,Downtown Toronto (University of Toronto / Harbord) Running,6.02,659,41:38,--,--,0,164,174,6:55,5:59,58,58,1.42,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-07-18 18:15:16,false,Downtown Toronto (University of Toronto / Harbord) Running,0.51,55,3:32.3,--,--,0,166,171,6:54,6:13,7,13,1.41,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-07-18 17:42:31,false,Downtown Toronto (University of Toronto / Harbord) Running,4.26,478,29:02,--,--,0,163,173,6:48,6:09,27,27,1.45,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-07-17 21:28:29,false,Downtown Toronto (University of Toronto / Harbord) Running,2.05,230,14:54,--,--,0,159,176,7:16,6:01,27,27,1.39,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-07-15 11:47:53,false,Downtown Toronto (University of Toronto / Harbord) Running,8.01,898,54:59,--,--,0,163,178,6:52,6:08,173,173,1.44,0,0,--,--,--,--,0,--,--,--,--,--,--
other,2017-07-14 16:48:14,false,Downtown Toronto (University of Toronto / Harbord) Dynamic,6.02,612,42:18,--,--,0,162,172,8.5,10.8,187,187,1.42,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-07-13 16:04:08,false,Downtown Toronto (University of Toronto / Harbord) Running,4.3,487,28:51,--,--,0,164,171,6:43,6:17,13,13,1.46,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-07-10 17:35:38,false,Downtown Toronto (University of Toronto / Harbord) Running,6.01,673,41:21,--,--,0,162,204,6:53,5:43,107,107,1.44,0,0,--,--,--,--,0,--,--,--,--,--,--
other,2017-07-08 10:44:03,false,Downtown Toronto (University of Toronto / Harbord) Dynamic,7.05,709,50:56,--,--,0,161,202,8.3,10.8,122,122,1.38,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-07-06 17:23:07,false,Mount Kisco Running,0.78,74,9:25.0,--,--,0,144,237,12:01,4:47,226,98,0.87,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2017-07-06 17:20:20,false,Mount Kisco Running,0.25,30,2:12.1,--,--,0,155,164,8:56,6:57,6,36,1.16,0,0,--,--,--,--,0,--,--,--,--,--,--
